DrugCode|Name|Formulation|Strength|Count|L1Rate|L1Lab
MED1400|Amikacin|Tablet|100mg|19|587.56|MED1400
MED1401|Amikacin Liposome Inhalation Suspension|Suspension|100mg|12|527.89|MED1401
MED1402|amikacin sulfate|Injection|100mg|22|128.23|MED1402
MED1403|Amikacin Sulfate Injection|Injection|100mg|93|804.35|MED1403
MED1404|Amikin|Tablet|100mg|58|687.40|MED1404
MED1405|Amiloride|Tablet|100mg|48|207.42|MED1405
MED1406|Amiloride and Hydrochlorothiazide|Tablet|100mg|59|864.95|MED1406
MED1407|Amiloride Hydrochloride|Tablet|100mg|92|495.71|MED1407
MED1408|Amino Acid|Tablet|100mg|56|337.82|MED1408
MED1409|Amino Acid and Glycerin|Tablet|100mg|43|795.67|MED1409
MED1410|Amino Acid Injection|Injection|100mg|80|880.95|MED1410
MED1411|Amino Acid Injection|Injection|100mg|52|172.95|MED1411
MED1412|Amino Acid Injection 10% Pediatric Formula|Injection|100mg|61|834.70|MED1412
MED1413|Amino Acid Injection 5% in 25% Dextrose Injection|Injection|100mg|94|540.71|MED1413
MED1414|Amino Acid Injection 5.2% Renal Formula|Injection|100mg|51|649.86|MED1414
MED1415|Amino Acid Injection 7% Pediatric Formula|Injection|100mg|74|528.42|MED1415
MED1416|Amino Acid Injection Hepatic Formula|Injection|100mg|44|941.20|MED1416
MED1417|Amino Acid Injection High Branched Chain|Injection|100mg|72|828.25|MED1417
MED1418|Amino Acid Injection in Dextrose Injection|Injection|100mg|41|624.34|MED1418
MED1419|Amino Acid Injection in Dextrose Injection|Injection|100mg|34|518.42|MED1419
MED1420|Amino Acid Injection in Dextrose Injection|Injection|100mg|16|133.38|MED1420
MED1421|Amino Acid Injection in Dextrose Injection|Injection|100mg|70|250.67|MED1421
MED1422|Amino Acid Injection with Electrolytes|Injection|100mg|60|625.98|MED1422
MED1423|Amino Acids|Tablet|100mg|27|807.60|MED1423
MED1424|Amino Acids|Injection|100mg|68|750.57|MED1424
MED1425|Amino Acids Injection, for Intravenous Use|Injection|100mg|37|792.06|MED1425
MED1426|Amino Acids with Electrolytes in Dextrose with Calcium Injection|Injection|100mg|84|663.95|MED1426
MED1427|Amino Acids, Electrolytes, Dextrose and Lipid Injectable Emulsion|Injection|100mg|74|232.05|MED1427
MED1428|Amino Acids, Electrolytes, Dextrose and Lipid Injectable Emulsion for Intravenous Use|Injection|100mg|89|585.58|MED1428
MED1429|Aminocaproic Acid|Tablet|100mg|33|630.10|MED1429
MED1430|Aminoglutethimide|Tablet|100mg|82|591.85|MED1430
MED1431|Aminohippurate|Tablet|100mg|88|248.99|MED1431
MED1432|Aminohippurate Sodium|Tablet|100mg|19|299.17|MED1432
MED1433|Aminolevulinic Acid|Tablet|100mg|83|497.08|MED1433
MED1434|Aminolevulinic Acid Hydrochloride|Solution|100mg|85|590.94|MED1434
MED1435|Aminolevulinic Acid Hydrochloride Gel|Tablet|100mg|22|515.72|MED1435
MED1436|Aminosalicylic Acid|Tablet|100mg|39|878.83|MED1436
MED1437|Aminosyn Electrolytes|Solution|100mg|36|695.72|MED1437
MED1438|Aminosyn HBC 7% Sulfite Free|Injection|100mg|74|196.14|MED1438
MED1439|Aminosyn HF 8%|Injection|100mg|18|407.61|MED1439
MED1440|Aminosyn II 3.5% in 25% Dextrose|Injection|100mg|52|514.56|MED1440
MED1441|Aminosyn II 3.5% in 5% Dextrose|Injection|100mg|55|406.62|MED1441
MED1442|Aminosyn II 4.25% in 25% Dextrose|Injection|100mg|30|570.91|MED1442
MED1443|Aminosyn II 5% in 25% Dextrose|Injection|100mg|46|374.55|MED1443
MED1444|Aminosyn II 8.5%|Injection|100mg|67|574.25|MED1444
MED1445|Aminosyn II in Dextrose|Injection|100mg|94|231.77|MED1445
MED1446|Aminosyn II Injection|Injection|100mg|31|849.35|MED1446
MED1447|Aminosyn PF 10% Sulfite Free|Injection|100mg|33|335.37|MED1447
MED1448|Aminosyn PF 7% Sulfite Free|Injection|100mg|10|605.28|MED1448
MED1449|Aminosyn RF 5.2% Sulfite Free|Injection|100mg|12|763.89|MED1449
MED1450|Aminosyn Sulfite Free|Solution|100mg|67|851.96|MED1450
MED1451|Amiodarone HCl Injection|Injection|100mg|16|963.48|MED1451
MED1452|Amiodarone HCl Injection|Injection|100mg|29|445.42|MED1452
MED1453|Amiodarone HCl Tablets|Tablet|100mg|37|433.94|MED1453
MED1454|Amiodarone HCl Tablets|Tablet|100mg|31|689.92|MED1454
MED1455|Amiodarone Intravenous|Tablet|100mg|71|989.80|MED1455
MED1456|Amisulpride Injection, for Intravenous Use|Injection|100mg|82|648.41|MED1456
MED1457|Amitiza|Tablet|100mg|78|833.12|MED1457
MED1458|Amitriptyline|Tablet|100mg|28|649.49|MED1458
MED1459|Amivantamab-vmjw for Injection|Injection|100mg|86|519.40|MED1459
MED1460|Amjevita|Tablet|100mg|95|600.61|MED1460
MED1461|Amlexanox|Tablet|100mg|96|205.89|MED1461
MED1462|Amlobenz|Capsule|100mg|72|893.63|MED1462
MED1463|Amlodipine and Celecoxib Tablets|Tablet|100mg|81|746.55|MED1463
MED1464|Amlodipine and Celecoxib Tablet|Tablet|100mg|96|273.11|MED1464
MED1465|Amlodipine and Olmesartan Medoxomil Tablets|Tablet|100mg|69|632.47|MED1465
MED1466|Amlodipine and Valsartan|Tablet|100mg|22|648.88|MED1466
MED1467|Amlodipine Besylate|Tablet|100mg|29|266.53|MED1467
MED1468|Amlodipine Besylate and Benazepril HCl|Tablet|100mg|84|671.13|MED1468
MED1469|Amlodipine Besylate and Benazepril Hydrochloride Capsules|Capsule|100mg|71|448.88|MED1469
MED1470|Amlodipine Besylate, Atorvastatin Calcium|Tablet|100mg|14|347.44|MED1470
MED1471|Amlodipine Oral Solution|Solution|100mg|78|424.38|MED1471
MED1472|Amlodipine Oral Suspension|Suspension|100mg|38|189.32|MED1472
MED1473|Amlodipine Valsartan Hydrochlorothiazide Tablets|Tablet|100mg|36|579.39|MED1473
MED1474|Ammonia N 13|Tablet|100mg|99|127.78|MED1474
MED1475|Ammonium Lactate Cream|Cream|100mg|69|497.53|MED1475
MED1476|Ammonul|Injection|100mg|40|816.09|MED1476
MED1477|Amnesteem Capsules|Capsule|100mg|78|353.62|MED1477
MED1478|Amobarbital Sodium Injection|Injection|100mg|21|303.26|MED1478
MED1479|Amondys 45|Injection|100mg|84|850.99|MED1479
MED1480|Amoxapine|Tablet|100mg|85|184.10|MED1480
MED1481|Amoxapine Tablets|Tablet|100mg|31|577.99|MED1481
MED1482|Amoxicillin|Tablet|100mg|53|152.31|MED1482
MED1483|Amoxicillin Clavulanate|Tablet|100mg|67|263.31|MED1483
MED1484|Amoxicillin Clavulanate Potassium|Tablet|100mg|99|163.65|MED1484
MED1485|Amoxicillin Clavulanate Potassium|Tablet|100mg|49|892.10|MED1485
MED1486|Amoxicillin Clavulanic Potassium|Tablet|100mg|93|802.39|MED1486
MED1487|Amoxicillin Extended-Release Tablets|Tablet|100mg|21|622.38|MED1487
MED1488|Amoxil|Tablet|100mg|74|263.19|MED1488
MED1489|Amphadase|Injection|100mg|68|454.20|MED1489
MED1490|Amphetamine Extended-release Oral Suspension|Suspension|100mg|66|695.77|MED1490
MED1491|Amphetamine Extended-Release Oral Suspension|Suspension|100mg|82|239.28|MED1491
MED1492|Amphetamine Extended-release Orally Disintegrating Tablets|Tablet|100mg|38|220.36|MED1492
MED1493|Amphetamine Sulfate Orally Disintegrating Tablets|Tablet|100mg|96|826.79|MED1493
MED1494|Amphetamine Sulfate Tablets, USP|Tablet|100mg|19|257.87|MED1494
MED1495|Amphetamine, Dextroamphetamine Mixed Salts|Tablet|100mg|76|849.86|MED1495
MED1496|Amphetamine, Dextroamphetamine Mixed Salts|Tablet|100mg|26|423.25|MED1496
MED1497|Amphotericin B|Tablet|100mg|45|335.90|MED1497
MED1498|Amphotericin B|Tablet|100mg|59|455.80|MED1498
MED1499|Amphotericin B Injection|Injection|100mg|35|826.81|MED1499
MED1500|Ampicillin|Tablet|100mg|14|402.76|MED1500
MED1501|Ampicillin and Sulbactam|Tablet|100mg|53|967.90|MED1501
MED1502|Amprenavir Capsules|Capsule|100mg|87|691.63|MED1502
MED1503|Amprenavir Oral Solution|Solution|100mg|83|604.05|MED1503
MED1504|Ampyra|Tablet|100mg|57|303.80|MED1504
MED1505|Amrix|Capsule|100mg|66|417.84|MED1505
MED1506|Amtagvi|Suspension|100mg|55|220.15|MED1506
MED1507|Amturnide|Tablet|100mg|15|473.66|MED1507
MED1508|Amvuttra|Injection|100mg|69|530.08|MED1508
MED1509|Amyl Nitrite|Tablet|100mg|84|147.07|MED1509
MED1510|Amyl Nitrite Inhalant|Tablet|100mg|94|498.49|MED1510
MED1511|Amytal Sodium|Injection|100mg|31|949.79|MED1511
MED1512|Amyvid|Injection|100mg|92|452.50|MED1512
MED1513|Amzeeq|Tablet|100mg|60|354.91|MED1513
MED1514|An-Sulfur Colloid|Injection|100mg|74|197.99|MED1514
MED1515|Ana-Kit|Tablet|100mg|77|131.06|MED1515
MED1516|Anabolic steroids|Tablet|100mg|84|184.55|MED1516
MED1517|Anacaulase-bcdb Topical Gel|Tablet|100mg|23|116.04|MED1517
MED1518|Anadrol-50|Tablet|100mg|32|358.45|MED1518
MED1519|Anafranil|Tablet|100mg|36|774.25|MED1519
MED1520|Anagrelide|Tablet|100mg|83|272.04|MED1520
MED1521|Anakinra|Tablet|100mg|78|767.85|MED1521
MED1522|Analpram HC|Tablet|100mg|31|184.86|MED1522
MED1523|Anascorp|Injection|100mg|81|254.27|MED1523
MED1524|Anascorp Centruroides|Injection|100mg|89|648.05|MED1524
MED1525|Anastrozole|Tablet|100mg|43|441.86|MED1525
MED1526|Anavip|Tablet|100mg|80|428.12|MED1526
MED1527|Ancobon|Tablet|100mg|17|637.65|MED1527
MED1528|Andexxa|Injection|100mg|44|695.46|MED1528
MED1529|Androderm|Tablet|100mg|69|540.49|MED1529
MED1530|AndroGel|Tablet|100mg|99|707.79|MED1530
MED1531|AndroGel 1.62|Tablet|100mg|74|743.43|MED1531
MED1532|Androxy|Tablet|100mg|35|481.70|MED1532
MED1533|Anectine|Tablet|100mg|78|621.50|MED1533
MED1534|Angeliq|Tablet|100mg|92|334.46|MED1534
MED1535|Angiomax|Tablet|100mg|83|900.55|MED1535
MED1536|Angiomax RTU|Injection|100mg|40|452.23|MED1536
MED1537|Anhydrous Morphine|Tablet|100mg|76|119.34|MED1537
MED1538|Anidulafungin|Tablet|100mg|66|980.24|MED1538
MED1539|Anifrolumab-fnia Injection|Injection|100mg|23|887.05|MED1539
MED1540|Anisindione|Tablet|100mg|37|566.21|MED1540
MED1541|Anjeso|Injection|100mg|45|215.45|MED1541
MED1542|Anktiva|Solution|100mg|88|137.46|MED1542
MED1543|Annovera|Tablet|100mg|18|333.97|MED1543
MED1544|Anoro Ellipta|Powder|100mg|39|595.64|MED1544
MED1545|Ansaid|Tablet|100mg|27|651.51|MED1545
MED1546|Ansuvimab-zykl for Injection, for Intravenous Use|Injection|100mg|93|587.87|MED1546
MED1547|Ant, Fly, Cockroach, and Mosquito Allergenic Extracts|Tablet|100mg|26|112.80|MED1547
MED1548|Antabuse|Tablet|100mg|71|498.32|MED1548
MED1549|Antara|Tablet|100mg|91|638.46|MED1549
MED1550|Anthim|Tablet|100mg|69|635.07|MED1550
MED1551|Anthralin|Tablet|100mg|26|473.78|MED1551
MED1552|Anthralin Microcrystalline Encapsulated Cream|Cream|100mg|78|295.70|MED1552
MED1553|Anthralin Microcrystalline-encapsulated System, 1%|Tablet|100mg|92|620.51|MED1553
MED1554|Anthrasil|Solution|100mg|88|917.88|MED1554
MED1555|Anthrax Immune Globulin Intravenous|Solution|100mg|89|129.22|MED1555
MED1556|Anthrax Vaccine Adsorbed Emergent BioSolutions|Solution|100mg|55|579.81|MED1556
MED1557|Anthrax Vaccine Adsorbed for Injection|Injection|100mg|78|206.86|MED1557
MED1558|Anti-inhibitor Coagulant Complex for Intravenous Use|Tablet|100mg|76|341.52|MED1558
MED1559|Anti-Inhibitor Coagulant Complex, Heat Treated|Tablet|100mg|18|222.59|MED1559
MED1560|Anti-Inhibitor Coagulant Complex, Vapor Heated|Tablet|100mg|96|312.21|MED1560
MED1561|Anti-Thymocyte Globulin|Tablet|100mg|90|778.21|MED1561
MED1562|Antihemophilic Factor|Tablet|100mg|68|673.88|MED1562
MED1563|Antihemophilic Factor|Tablet|100mg|93|292.25|MED1563
MED1564|Antihemophilic Factor|Tablet|100mg|79|444.56|MED1564
MED1565|Antihemophilic Factor|Tablet|100mg|53|274.73|MED1565
MED1566|Antihemophilic Factor|Tablet|100mg|33|993.87|MED1566
MED1567|Antihemophilic Factor|Tablet|100mg|19|116.52|MED1567
MED1568|Antihemophilic Factor|Tablet|100mg|58|659.60|MED1568
MED1569|Antihemophilic Factor|Tablet|100mg|64|442.09|MED1569
MED1570|Antihemophilic Factor|Tablet|100mg|45|341.92|MED1570
MED1571|Antihemophilic Factor|Tablet|100mg|58|573.48|MED1571
MED1572|Antihemophilic Factor|Injection|100mg|29|296.73|MED1572
MED1573|Antihemophilic Factor|Tablet|100mg|29|913.40|MED1573
MED1574|Antihemophilic factor|Tablet|100mg|99|749.49|MED1574
MED1575|Antihemophilic Factor|Injection|100mg|16|784.40|MED1575
MED1576|Antihemophilic Factor|Injection|100mg|48|822.62|MED1576
MED1577|Antihemophilic Factor|Injection|100mg|63|548.69|MED1577
MED1578|Antihemophilic Factor Recombinant Intravenous Infusion|Tablet|100mg|56|732.42|MED1578
MED1579|Antihemophilic Factor Recombinant Intravenous Injection|Injection|100mg|55|966.69|MED1579
MED1580|Antihemophilic Factor/von Willebrand Factor Complex|Injection|100mg|17|416.64|MED1580
MED1581|Antipyrine, Benzocaine and Glycerin Dehydrated|Tablet|100mg|18|142.94|MED1581
MED1582|Antithrombin|Tablet|100mg|84|831.67|MED1582
MED1583|Antithymocyte Globulin Equine|Tablet|100mg|23|145.74|MED1583
MED1584|Antivenin|Tablet|100mg|28|425.03|MED1584
MED1585|Antivenin|Tablet|100mg|27|304.50|MED1585
MED1586|Antivert|Tablet|100mg|35|578.65|MED1586
MED1587|Antizol|Tablet|100mg|80|878.87|MED1587
MED1588|Anturane|Tablet|100mg|86|587.77|MED1588
MED1589|Anturol|Tablet|100mg|21|483.10|MED1589
MED1590|Anusol Hc|Cream|100mg|11|857.06|MED1590
MED1591|Anusol Rectal|Tablet|100mg|83|259.43|MED1591
MED1592|Anzemet Injection|Injection|100mg|10|421.15|MED1592
MED1593|Anzemet Tablets|Tablet|100mg|43|974.89|MED1593
MED1594|Apadaz|Tablet|100mg|70|852.61|MED1594
MED1595|Apalutamide Tablets|Tablet|100mg|83|422.94|MED1595
MED1596|ApexiCon E|Tablet|100mg|72|789.25|MED1596
MED1597|Aphexda|Injection|100mg|93|848.68|MED1597
MED1598|Aphrodyne|Tablet|100mg|62|247.39|MED1598
MED1599|Aphthasol|Tablet|100mg|25|455.83|MED1599
MED1600|Apidra|Tablet|100mg|63|770.78|MED1600
MED1601|Apixaban Tablets|Tablet|100mg|13|525.91|MED1601
MED1602|Aplenzin|Tablet|100mg|83|124.54|MED1602
MED1603|Aplisol|Tablet|100mg|61|928.72|MED1603
MED1604|Apokyn|Tablet|100mg|61|253.89|MED1604
MED1605|Apomorphine|Tablet|100mg|40|908.49|MED1605
MED1606|Apomorphine Hydrochloride Sublingual Film|Film|100mg|68|562.74|MED1606
MED1607|Aponvie|Injection|100mg|60|876.64|MED1607
MED1608|Apraclonidine|Tablet|100mg|57|955.87|MED1608
MED1609|Apremilast Tablets|Tablet|100mg|88|985.44|MED1609
MED1610|Aprepitant Capsules|Capsule|100mg|95|783.05|MED1610
MED1611|Aprepitant Injectable Emulsion|Injection|100mg|83|161.10|MED1611
MED1612|Aprepitant Injectable Emulsion|Injection|100mg|66|762.35|MED1612
MED1613|Apresazide|Tablet|100mg|97|423.54|MED1613
MED1614|Apresoline|Tablet|100mg|72|773.09|MED1614
MED1615|Apretude|Injection|100mg|15|932.34|MED1615
MED1616|Apri|Tablet|100mg|38|966.45|MED1616
MED1617|Apriso|Capsule|100mg|88|309.18|MED1617
MED1618|Aprocitentan Tablets|Tablet|100mg|98|677.42|MED1618
MED1619|Aprotinin|Tablet|100mg|99|348.81|MED1619
MED1620|Aptensio XR|Capsule|100mg|13|526.39|MED1620
MED1621|Aptiom|Tablet|100mg|34|870.87|MED1621
MED1622|Aptivus|Tablet|100mg|99|329.24|MED1622
MED1623|APur Thyroid|Tablet|100mg|14|459.43|MED1623
MED1624|Aqneursa|Suspension|100mg|74|941.46|MED1624
MED1625|AquaMEPHYTON|Injection|100mg|70|755.74|MED1625
MED1626|Aquasol A|Tablet|100mg|12|357.93|MED1626
MED1627|Aqueous Colloidal Solution of Vitamin K1|Solution|100mg|29|434.48|MED1627
MED1628|Arakoda|Tablet|100mg|35|745.99|MED1628
MED1629|Aralast NP|Tablet|100mg|43|892.85|MED1629
MED1630|Aralen|Tablet|100mg|93|149.35|MED1630
MED1631|Aramine|Tablet|100mg|37|438.99|MED1631
MED1632|Aranelle|Tablet|100mg|13|887.53|MED1632
MED1633|Aranesp|Tablet|100mg|22|337.05|MED1633
MED1634|Arava|Tablet|100mg|26|351.72|MED1634
MED1635|Arazlo|Lotion|100mg|47|788.45|MED1635
MED1636|Arcalyst|Tablet|100mg|23|868.81|MED1636
MED1637|Arcapta Neohaler|Powder|100mg|29|886.00|MED1637
MED1638|Aredia|Tablet|100mg|20|519.56|MED1638
MED1639|Arestin|Tablet|100mg|66|112.07|MED1639
MED1640|Arexvy|Suspension|100mg|23|640.25|MED1640
MED1641|Arformoterol Tartrate Inhalation Solution|Solution|100mg|83|696.95|MED1641
MED1642|Argatroban|Injection|100mg|43|667.72|MED1642
MED1643|Argatroban|Tablet|100mg|25|734.51|MED1643
MED1644|Argatroban Injection|Injection|100mg|36|228.94|MED1644
MED1645|Arginine Hydrochloride Injection|Injection|100mg|70|864.14|MED1645
MED1646|Aricept|Tablet|100mg|83|718.86|MED1646
MED1647|Aridol|Powder|100mg|57|642.51|MED1647
MED1648|Arikayce|Suspension|100mg|92|511.65|MED1648
MED1649|Arimidex|Tablet|100mg|41|198.57|MED1649
MED1650|Arimoclomol Capsules|Capsule|100mg|97|712.13|MED1650
MED1651|Aripiprazole|Tablet|100mg|75|378.96|MED1651
MED1652|Aripiprazole Extended-Release Injectable Suspension|Injection|100mg|88|482.87|MED1652
MED1653|Aripiprazole for Extended-release Injectable Suspension|Injection|100mg|47|345.74|MED1653
MED1654|Aripiprazole Lauroxil Extended-release Injection|Injection|100mg|21|609.39|MED1654
MED1655|Aripiprazole Lauroxil Injectable Suspension|Injection|100mg|78|485.35|MED1655
MED1656|Aripiprazole Oral Film|Film|100mg|97|463.51|MED1656
MED1657|Aripiprazole Oral Solution|Solution|100mg|81|423.84|MED1657
MED1658|Aripiprazole Tablets|Tablet|100mg|49|947.82|MED1658
MED1659|Aripiprazole Tablets with Sensor|Tablet|100mg|94|172.53|MED1659
MED1660|Aristada|Injection|100mg|19|553.73|MED1660
MED1661|Aristada Initio|Injection|100mg|44|959.13|MED1661
MED1662|Aristocort|Injection|100mg|27|867.24|MED1662
MED1663|Aristocort Forte Injection|Injection|100mg|30|127.66|MED1663
MED1664|Aristospan 5 mg|Injection|5 mg|97|651.02|MED1664
MED1665|Aristospan Injection 20 mg|Injection|20 mg|62|392.19|MED1665
MED1666|Arixtra|Tablet|100mg|49|642.91|MED1666
MED1667|Armodafinil|Tablet|100mg|21|671.93|MED1667
MED1668|ArmonAir Digihaler|Powder|100mg|76|934.76|MED1668
MED1669|ArmonAir RespiClick|Powder|100mg|52|951.55|MED1669
MED1670|Armour Thyroid|Tablet|100mg|95|893.37|MED1670
MED1671|Arnuity Ellipta|Powder|100mg|54|143.39|MED1671
MED1672|Aromasin|Tablet|100mg|52|875.47|MED1672
MED1673|Arranon|Tablet|100mg|67|237.06|MED1673
MED1674|Arsenic Trioxide Injection|Injection|100mg|33|755.10|MED1674
MED1675|Artane|Tablet|100mg|44|531.84|MED1675
MED1676|Artemether Lumefantrine Tablets|Tablet|100mg|54|507.90|MED1676
MED1677|Artesunate|Tablet|100mg|99|737.18|MED1677
MED1678|Arthrotec|Tablet|100mg|75|539.37|MED1678
MED1679|Articadent|Injection|100mg|35|894.76|MED1679
MED1680|Articaine HCl and Epinephrine for Injection|Injection|100mg|66|139.99|MED1680
MED1681|Articaine HCl and Epinephrine Injection|Injection|100mg|84|378.54|MED1681
MED1682|Articaine HCl and Epinephrine Injection|Injection|100mg|83|640.84|MED1682
MED1683|Articane HCl and Epinephrine Injection|Injection|100mg|14|713.41|MED1683
MED1684|Artiss|Solution|100mg|86|991.89|MED1684
MED1685|Arymo ER|Tablet|100mg|26|895.14|MED1685
MED1686|Arzerra|Injection|100mg|92|327.54|MED1686
MED1687|Asacol|Tablet|100mg|81|547.59|MED1687
MED1688|Asacol HD|Tablet|100mg|54|663.06|MED1688
MED1689|Asceniv|Injection|100mg|73|639.72|MED1689
MED1690|Asciminib Tablets|Tablet|100mg|53|144.23|MED1690
MED1691|Asclera|Injection|100mg|69|900.65|MED1691
MED1692|Ascomp with Codeine|Capsule|100mg|92|724.06|MED1692
MED1693|ASCOR|Injection|100mg|53|572.57|MED1693
MED1694|Ascorbic Acid|Tablet|100mg|97|494.19|MED1694
MED1695|Ascorbic Acid Injection for Intravenous Use|Injection|100mg|71|843.20|MED1695
MED1696|Asenapine Sublingual Tablets|Tablet|100mg|86|339.48|MED1696
MED1697|Asenapine Transdermal System|Tablet|100mg|72|853.46|MED1697
MED1698|Asfotase Alfa for Subcutaneous Administration|Tablet|100mg|66|879.89|MED1698
MED1699|Asmanex|Tablet|100mg|61|105.63|MED1699
MED1700|Asmanex Twisthaler|Powder|100mg|21|548.36|MED1700
MED1701|Asparaginase|Tablet|100mg|97|438.30|MED1701
MED1702|Asparaginase Erwinia Chrysanthemi|Tablet|100mg|83|827.51|MED1702
MED1703|Asparaginase Erwinia Chrysanthemi|Injection|100mg|76|686.12|MED1703
MED1704|Asparlas|Injection|100mg|61|420.47|MED1704
MED1705|Aspirin|Tablet|100mg|70|578.79|MED1705
MED1706|Aspirin and Omeprazole Tablets|Tablet|100mg|81|576.65|MED1706
MED1707|Aspirin and Oxycodone Hydrochloride|Tablet|100mg|17|350.17|MED1707
MED1708|Aspirin Capsules|Capsule|100mg|85|901.11|MED1708
MED1709|Aspirin, Caffeine, and Dihydrocodeine Bitartrate Capsules, USP|Capsule|100mg|66|896.01|MED1709
MED1710|Aspirin, Extended-Release Dipyridamole Capsules|Capsule|100mg|97|847.16|MED1710
MED1711|Aspruzyo Sprinkle|Tablet|100mg|24|972.16|MED1711
MED1712|Astagraf XL|Capsule|100mg|76|641.69|MED1712
MED1713|Astelin|Tablet|100mg|48|976.95|MED1713
MED1714|Astemizole|Tablet|100mg|99|710.20|MED1714
MED1715|Astepro|Tablet|100mg|72|954.24|MED1715
MED1716|Astero|Tablet|100mg|54|982.48|MED1716
MED1717|Atacand|Tablet|100mg|56|583.79|MED1717
MED1718|Atacand HCT|Tablet|100mg|63|947.74|MED1718
MED1719|Atarax|Tablet|100mg|29|163.87|MED1719
MED1720|Atazanavir and Cobicistat Tablets for Oral Administration|Tablet|100mg|59|973.66|MED1720
MED1721|Atazanavir Sulfate|Tablet|100mg|17|424.65|MED1721
MED1722|Atelvia|Tablet|100mg|66|563.45|MED1722
MED1723|Atenolol and Chlorthalidone|Tablet|100mg|38|275.43|MED1723
MED1724|Atenolol Inj|Injection|100mg|82|365.93|MED1724
MED1725|Atenolol Inj|Injection|100mg|86|931.51|MED1725
MED1726|Atenolol Tablets|Tablet|100mg|24|608.98|MED1726
MED1727|Atezolizumab and Hyaluronidase-tqjs Injection|Injection|100mg|98|227.74|MED1727
MED1728|Atezolizumab Injection|Injection|100mg|68|566.79|MED1728
MED1729|Atgam|Tablet|100mg|70|437.67|MED1729
MED1730|Athentia Next|Tablet|1.5 mg|95|952.48|MED1730
MED1731|Atidarsagene Autotemcel Suspension for Intravenous Infusion|Suspension|100mg|47|190.88|MED1731
MED1732|Ativan|Tablet|100mg|98|534.55|MED1732
MED1733|Ativan Injection|Injection|100mg|16|509.13|MED1733
MED1734|ATNAA|Injection|100mg|55|407.49|MED1734
MED1735|Atogepant Tablets|Tablet|100mg|51|293.17|MED1735
MED1736|Atoltivimab, Maftivimab, and Odesivimab-ebgn for Injection|Injection|100mg|47|757.59|MED1736
MED1737|Atomoxetine HCl|Tablet|100mg|27|139.17|MED1737
MED1738|Atorvaliq|Tablet|100mg|25|112.42|MED1738
MED1739|Atorvastatin|Tablet|100mg|49|933.16|MED1739
MED1740|Atorvastatin Calcium|Tablet|100mg|80|484.30|MED1740
MED1741|Atovaquone|Tablet|100mg|39|893.07|MED1741
MED1742|Atovaquone and Proguanil Hcl|Tablet|100mg|56|545.64|MED1742
MED1743|Atracurium Besylate|Tablet|100mg|63|205.61|MED1743
MED1744|Atracurium Besylate Injection|Injection|100mg|52|964.83|MED1744
MED1745|Atralin|Tablet|100mg|62|625.82|MED1745
MED1746|Atridox|Tablet|100mg|24|569.93|MED1746
MED1747|Atripla|Tablet|100mg|59|234.85|MED1747
MED1748|Atropen|Tablet|100mg|37|309.91|MED1748
MED1749|Atropine|Tablet|100mg|15|111.39|MED1749
MED1750|Atropine|Tablet|100mg|75|491.77|MED1750
MED1751|Atropine|Tablet|100mg|20|296.04|MED1751
MED1752|Atropine and Pralidoxime Chloride Injection|Injection|100mg|98|438.00|MED1752
MED1753|Atropine and Pralidoxime Chloride Injection|Injection|100mg|27|294.40|MED1753
MED1754|atropine sulfate|Tablet|100mg|16|219.52|MED1754
MED1755|Atropine Sulfate|Solution|100mg|34|681.76|MED1755
MED1756|Atrovent HFA|Tablet|100mg|28|399.82|MED1756
MED1757|Atrovent Nasal Spray|Tablet|100mg|70|559.47|MED1757
MED1758|Atrovent Nasal Spray .06|Tablet|100mg|79|280.77|MED1758
MED1759|Atryn|Powder|100mg|32|538.83|MED1759
MED1760|Attenuvax|Tablet|100mg|85|656.14|MED1760
MED1761|Aubagio|Tablet|100mg|40|387.69|MED1761
MED1762|Audenz|Injection|100mg|58|414.28|MED1762
MED1763|Augmentin|Tablet|100mg|36|951.91|MED1763
MED1764|Augmentin Chewable Tablets|Tablet|100mg|31|856.45|MED1764
MED1765|Augmentin ES|Tablet|100mg|82|238.93|MED1765
MED1766|Augmentin XR|Tablet|100mg|18|562.35|MED1766
MED1767|Augtyro|Capsule|100mg|99|964.78|MED1767
MED1768|Auralgan|Tablet|100mg|60|647.35|MED1768
MED1769|auranofin|Tablet|100mg|30|338.58|MED1769
MED1770|Aurlumyn|Injection|100mg|71|390.14|MED1770
MED1771|Aurovela|Tablet|100mg|80|353.76|MED1771
MED1772|Auryxia|Tablet|100mg|11|632.96|MED1772
MED1773|Austedo|Tablet|100mg|42|137.06|MED1773
MED1774|Autologous Cellular Product for Intradermal Injection|Injection|100mg|44|980.03|MED1774
MED1775|Autologous Cultured Chondrocytes for Implantation|Tablet|100mg|50|805.25|MED1775
MED1776|Autologous Cultured Chondrocytes on Porcine Collagen Membrane|Tablet|100mg|93|531.05|MED1776
MED1777|Autoplex-T|Tablet|100mg|83|104.97|MED1777
MED1778|Auvelity|Tablet|100mg|19|145.33|MED1778
MED1779|Auvi-Q|Injection|100mg|65|187.32|MED1779
MED1780|Avacincaptad Pegol Intravitreal Solution|Solution|100mg|14|288.88|MED1780
MED1781|Avaclyr|Ointment|100mg|53|996.51|MED1781
MED1782|Avacopan Capsules|Capsule|100mg|64|511.24|MED1782
MED1783|Avagard Foam|Tablet|100mg|81|543.73|MED1783
